a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230802.1-1
accounts-qml-module 0.7-4
accountsservice 23.13.9-1
acl 2.3.1-3
acpilight 1.2-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
alacritty 0.13.1-1
alsa-lib 1.2.10-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
alsa-utils 1.2.10-1
amd-ucode 20240115.9b6d0b08-1
aom 3.8.1-1
apparmor 3.1.6-2
apr 1.7.4-1
apr-util 1.6.3-1
arc-solid-gtk-theme 20221218-1
archlinux-keyring 20231222-1
argon2 20190702-5
aribb24 1.0.3-3
at-spi2-core 2.50.1-1
atkmm 2.28.3-1
attica5 5.114.0-1
attr 2.5.2-1
audit 4.0-1
authy 2.4.2-1
autoconf 2.72-1
autoconf-archive 1:2023.02.20-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-1
ayatana-ido 0.10.1-1
babl 0.1.106-1
base 3-2
base-devel 1-1
bash 5.2.026-2
bash-completion 2.11-3
bat 0.24.0-1
bc 1.07.1-4
betterlockscreen 4.2.0-1
bind 9.18.21-1
binutils 2.41-3
bison 3.8.2-6
blas 3.12.0-3
blosc 1.21.5-1
bluez-libs 5.72-2
boost-libs 1.83.0-4
brave-bin 1:1.61.120-1
breeze-gtk 5.27.10-1
breeze-icons 5.114.0-1
brotli 1.1.0-1
btrfs-progs 6.6.3-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.25.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.96.1-1
ca-certificates-utils 20220905-1
cadabra2 2.4.3.2-1
cairo 1.18.0-1
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
catimg 2.7.0-1
cava 0.10.0-1
cblas 3.12.0-3
cdparanoia 10.2-9
chafa 1.14.0-1
cmake 3.28.1-1
cmark 0.30.3-1
code 1.85.2-1
convertlit 1.8-11
coreutils 9.4-2
cppdap 1.58.0-1
cppo 1.6.9-2
cryptsetup 2.6.1-3
curl 8.5.0-1
dav1d 1.3.0-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-2
dbus-broker 35-2
dbus-broker-units 35-2
dconf 0.40.0-2
debtap 3.5.1-1
debugedit 5.0-5
deepin-desktop-base 2:2024.01.03-1
deepin-image-editor 1.0.41-1
deepin-qt-dbus-factory 6.0.0-7
deepin-qt5integration 5.6.20-2
deepin-screen-recorder 5.12.14-1
deepin-turbo 0.0.6-1
deepin-util-dfm 1.2.21-1
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-1
diffutils 3.10-1
discord 0.0.41-1
discount 3.0.0.a-1
djvulibre 3.5.28-5
dnssec-anchors 20190629-3
dosfstools 4.2-3
double-conversion 3.3.0-1
doxygen 1.10.0-1
dtkcommon 5.6.21-1
dtkcore 1:5.6.22-1
dtkgui 1:5.6.22-1
dtkwidget 5.6.22-1
duktape 2.7.0-6
dune 3.11.1-1
dunst 1.9.2-1
dvisvgm 3.2-1
e2fsprogs 1.47.0-1
ebook-tools 0.2.2-7
efibootmgr 18-2
efivar 38-3
electron25 25.9.8-1
emacs-nox 29.1-4
enchant 2.6.5-1
entr 5.5-1
evolution 3.50.3-1
evolution-data-server 3.50.3-1
exiv2 0.28.1-1
exo 4.18.0-1
expat 2.5.0-1
faad2 2.11.1-1
fakeroot 1.32.2-1
fd 9.0.0-1
feh 3.10.2-1
ffcall 2.4-2
ffmpeg 2:6.1.1-2
ffmpeg4.4 4.4.4-3
ffmpegthumbnailer 2.2.2-5
fftw 3.3.10-4
file 5.45-1
filesystem 2024.01.19-1
fim 0.7-1
findutils 4.9.0-3
firefox 121.0.1-1
flac 1.4.3-1
flex 2.6.4-5
fmt 10.2.0-1
fontconfig 2:2.15.0-2
freeglut 3.4.0-1
freeimage 3.18.0-21
freetype2 2.13.2-1
frei0r-plugins 2.3.2-2
fribidi 1.0.13-2
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
gavl 1.4.0-7
gawk 5.3.0-1
gc 8.2.4-1
gcc 13.2.1-3
gcc-fortran 13.2.1-3
gcc-libs 13.2.1-3
gcr 3.41.2-1
gcr-4 4.1.0-1
gd 2.3.3-7
gdb 13.2-1
gdb-common 13.2-1
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gegl 0.4.46-2
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.22.4-1
ghostscript 10.02.1-1
giflib 5.2.1-2
gimp 2.10.36-4
git 2.43.0-1
github-cli 2.42.1-1
glib-networking 1:2.78.0-1
glib2 2.78.3-1
glibc 2.38-7
glibmm 2.66.6-1
glslang 13.1.1-3
glu 9.0.3-1
gmp 6.3.0-1
gnome-autoar 0.4.4-1
gnome-backgrounds 45.0-1
gnome-desktop 1:44.0-1
gnome-desktop-common 1:44.0-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnu-free-fonts 20120503-8
gnupg 2.4.3-2
gnutls 3.8.3-1
gobject-introspection 1.78.1-1
gobject-introspection-runtime 1.78.1-1
google-chrome 120.0.6099.224-1
gparted 1.5.0-1
gperftools 2.15-1
gpgme 1.23.2-1
gpm 1.20.7.r38.ge82d1a6-5
grace 5.1.25-8
graphene 1.10.8-1
graphicsmagick 1.3.42-2
graphite 1:1.3.14-3
graphviz 9.0.0-1
grep 3.11-1
groff 1.23.0-5
grub 2:2.12-1
grub-customizer 5.2.4-1
gsettings-desktop-schemas 45.0-1
gsettings-qt 0.2-1
gsfonts 20200910-3
gsl 2.7.1-3
gsm 1.0.22-1
gspell 1.12.2-2
gssdp 1.6.3-1
gst-plugins-bad-libs 1.22.8-2
gst-plugins-base 1.22.8-2
gst-plugins-base-libs 1.22.8-2
gstreamer 1.22.8-2
gtk-update-icon-cache 1:4.12.5-1
gtk2 2.24.33-3
gtk3 1:3.24.40-2
gtkmm3 3.24.8-1
gtksourceview4 4.8.4-1
gts 0.7.6.121130-2
guile 3.0.9-1
gumbo-parser 0.12.1-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gvfs 1.52.2-2
gzip 1.13-2
harfbuzz 8.3.0-2
harfbuzz-icu 8.3.0-2
hdf5 1.14.3-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.0.7-1
htop 3.3.0-1
http-parser 2.9.4-1
hwdata 0.378-1
hwloc 2.10.0-1
hyphen 2.8.8-5
i3-wm 4.23-1
i3lock-color 2.13.c.5-1
iana-etc 20231228-1
icu 74.2-1
ijs 0.35-5
imagemagick 7.1.1.27-1
imath 3.1.9-2
imlib2 1.12.1-2
